codigo,nombre_es,nombre_en,descripcion_en,simbolo,factor_conversion,nivel_categoria,categoria_es,estado
P78,,reciprocal square inch,Complement of the power of the unit inch according to the Anglo-American and Imperial system of units by exponent 2.,1/in²,"1,550 003 x 10³ m⁻²",2.0,2.0,Vigente
P79,,pascal square metre per kilogram,"Unit of the burst index as derived unit for pressure pascal related to the substance, represented as a quotient from the SI base unit kilogram divided by the power of the SI base unit metre by exponent 2.",Pa/(kg/m²),m/s²,1.0,1.0,Vigente
P8,,eight pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
P80,,millipascal per metre,"0,001-fold of the derived SI unit pascal divided by the SI base unit metre.",mPa/m,10⁻³ kg/(m² x s²),1M,Normativa - múltiplos de uso común,Vigente
P81,,kilopascal per metre,1000-fold of the derived SI unit pascal divided by the SI base unit metre.,kPa/m,10³ kg/(m² x s²),1M,Normativa - múltiplos de uso común,Vigente
P82,,hectopascal per metre,100-fold of the derived SI unit pascal divided by the SI base unit metre.,hPa/m,10² kg/(m² x s²),1M,Normativa - múltiplos de uso común,Vigente
P83,,standard atmosphere per metre,Outdated unit of the pressure divided by the SI base unit metre.,Atm/m,"1,013 25 x 10⁵ kg/(m² x s²)",2.0,2.0,Vigente
P84,,technical atmosphere per metre,Obsolete and non-legal unit of the pressure which is generated by a 10 metre water column divided by the SI base unit metre.,at/m,"9,806 65 x 10⁴  kg/(m² x s²)",2.0,2.0,Vigente
P85,,torr per metre,CGS (Centimetre-Gram-Second system) unit of the pressure divided by the SI base unit metre.,Torr/m,"1,333 224 x 10² kg/(m² x s²)",2.0,2.0,Vigente
P86,,psi per inch,Compound unit for pressure (pound-force according to the Anglo-American unit system divided by the power of the unit inch according to the Anglo-American and Imperial system of units with the exponent 2) divided by the unit inch according to the Anglo-American and Imperial system of units .,psi/in,"2,714 471 x 10⁵ kg/(m² x s²)",2.0,2.0,Vigente
P87,,cubic metre per second square metre,Unit of volume flow cubic meters by second related to the transmission surface in square metres.,(m³/s)/m²,m/s,1M,Normativa - múltiplos de uso común,Vigente
P88,,rhe,Non SI-conforming unit of fluidity of dynamic viscosity.,rhe,10 m x kg⁻¹ x s,3.5,Informativa - unidades específicas de industria,Vigente
P89,,pound-force foot per inch,Unit for length-related rotational moment according to the Anglo-American and Imperial system of units.,lbf·ft/in,"53,378 66 m x kg / s²",3.5,Informativa - unidades específicas de industria,Vigente
P9,,nine pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
P90,,pound-force inch per inch,Unit for length-related rotational moment according to the Anglo-American and Imperial system of units.,lbf·in/in,"4,448 222 m x kg / s²",3.5,Informativa - unidades específicas de industria,Vigente
P91,,perm (0 ºC),"Traditional unit for the ability of a material to allow the transition of the steam, defined at a temperature of 0 °C as steam transmittance, where the mass of one grain steam penetrates an area of one foot squared at a pressure from one inch mercury per hour.",perm (0 ºC) ,"5,721 35 x 10⁻¹¹ kg/(m² x Pa x s)",3.5,Informativa - unidades específicas de industria,Vigente
P92,,perm (23 ºC),"Traditional unit for the ability of a material to allow the transition of the steam, defined at a temperature of 23 °C as steam transmittance at which the mass of one grain of steam penetrates an area of one square foot at a pressure of one inch mercury per hour.",perm (23 ºC) ,"5,745 25 x 10⁻¹¹ kg/(m² x Pa x s)",3.5,Informativa - unidades específicas de industria,Vigente
P93,,byte per second,Unit byte divided by the SI base unit second.,byte/s,byte/s,3.6,Informativa - unidades de tecnología de la información,Vigente
P94,,kilobyte per second,1000-fold of the unit byte divided by the SI base unit second.,kbyte/s,10³ byte/s,3.6,Informativa - unidades de tecnología de la información,Vigente
P95,,megabyte per second,1 000 000-fold of the unit byte divided by the SI base unit second.,Mbyte/s,10⁶ byte/s,3.6,Informativa - unidades de tecnología de la información,Vigente
P96,,reciprocal volt,Reciprocal of the derived SI unit volt.,1/V,m⁻² x kg⁻¹ x s³ x A,3.5,Informativa - unidades específicas de industria,Vigente
P97,,reciprocal radian,Reciprocal of the unit radian.,1/rad,1/rad,3.5,Informativa - unidades específicas de industria,Vigente
P98,,pascal to the power sum of stoichiometric numbers,"Unit of the equilibrium constant on the basis of the pressure(ISO 80000-9:2009, 9-35.a).",PaΣνB,,3.5,Informativa - unidades específicas de industria,Vigente
P99,,mole per cubiv metre to the power sum of stoichiometric numbers,"Unit of the equilibrium constant on the basis of the concentration (ISO 80000-9:2009, 9-36.a).",(mol/m³)∑νB,,3.5,Informativa - unidades específicas de industria,Vigente
PA,paquete,packet,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
PAL,pascal,pascal,,Pa,Pa,1,Normativa (SI),Vigente
PB,,pair inch,,,,3.8,Informativa - múltiplos / fracciones / decimales,Eliminado de la Rec. 20
PD,,pad,A unit of count defining the number of pads (pad: block of paper sheets fastened together at one end).,,,3.9,Informativa - varias,Vigente
PE,,pound equivalent,,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Eliminado de la Rec. 20
PF,,pallet (lift),"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
PFL,,proof litre,"A unit of volume equal to one litre of proof spirits, or the alcohol equivalent thereof. Used for measuring the strength of distilled alcoholic liquors, expressed as a percentage of the alcohol content of a standard mixture at a specific temperature.",,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
PG,placa,plate,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
PGL,,proof gallon,"A unit of volume equal to one gallon of proof spirits, or the alcohol equivalent thereof. Used for measuring the strength of distilled alcoholic liquors, expressed as a percentage of the alcohol content of a standard mixture at a specific temperature.",,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
PI,,pitch,A unit of count defining the number of characters that fit in a horizontal inch.,,,3.5,Informativa - unidades específicas de industria,Vigente
PK,paquete (pack),pack,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).,Synonym: package",,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
PL,cubeta,pail,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
PLA,,degree Plato,"A unit of proportion defining the sugar content of a product, especially in relation to beer.",°P,,3.5,Informativa - unidades específicas de industria,Vigente
PM,,pound percentage,,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Eliminado de la Rec. 20
PN,,pound net,,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Eliminado de la Rec. 20
